x,y,dot,cross,angleDeg,t,qx,qy,bestCoordonatesx,bestCoordonatesy
0,0,0.0935999,-0.000108,-0.0661105,0,129,108,0,0
0.0601199,0.2997,0.0932691,-0.000107856,-0.0662566,1,129,108,0.0601199,0.2997
0.120479,0.5988,0.092939,-0.000107713,-0.0664034,2,129,108,0.120479,0.5988
0.181078,0.8973,0.0926098,-0.000107569,-0.0665509,3,129,108,0.181078,0.8973
0.241915,1.1952,0.0922813,-0.000107426,-0.066699,4,129,108,0.241915,1.1952
0.30299,1.4925,0.0919536,-0.000107284,-0.0668478,5,129,108,0.30299,1.4925
0.364303,1.7892,0.0916267,-0.000107141,-0.0669972,6,129,108,0.364303,1.7892
0.425853,2.0853,0.0913005,-0.000106999,-0.0671474,7,129,108,0.425853,2.0853
0.487639,2.3808,0.0909751,-0.000106857,-0.0672982,8,129,108,0.487639,2.3808
0.549662,2.6757,0.0906505,-0.000106716,-0.0674497,9,129,108,0.549662,2.6757
0.61192,2.97,0.0903267,-0.000106574,-0.0676019,10,129,108,0.61192,2.97
0.674414,3.2637,0.0900036,-0.000106433,-0.0677549,11,129,108,0.674414,3.2637
0.737142,3.5568,0.0896813,-0.000106293,-0.0679085,12,129,108,0.737142,3.5568
0.800104,3.8493,0.0893597,-0.000106152,-0.0680628,13,129,108,0.800104,3.8493
0.8633,4.1412,0.089039,-0.000106012,-0.0682178,14,129,108,0.8633,4.1412
0.92673,4.4325,0.088719,-0.000105872,-0.0683736,15,129,108,0.92673,4.4325
0.990392,4.7232,0.0883998,-0.000105733,-0.0685301,16,129,108,0.990392,4.7232
1.05429,5.0133,0.0880813,-0.000105594,-0.0686873,17,129,108,1.05429,5.0133
1.11841,5.3028,0.0877636,-0.000105455,-0.0688452,18,129,108,1.11841,5.3028
1.18277,5.5917,0.0874467,-0.000105316,-0.0690038,19,129,108,1.18277,5.5917
1.24736,5.88,0.0871305,-0.000105178,-0.0691632,20,129,108,1.24736,5.88
1.31218,6.1677,0.0868151,-0.000105039,-0.0693234,21,129,108,1.31218,6.1677
1.37723,6.4548,0.0865005,-0.000104902,-0.0694842,22,129,108,1.37723,6.4548
1.44251,6.7413,0.0861866,-0.000104764,-0.0696459,23,129,108,1.44251,6.7413
1.50801,7.0272,0.0858735,-0.000104627,-0.0698083,24,129,108,1.50801,7.0272
1.57375,7.3125,0.0855611,-0.00010449,-0.0699714,25,129,108,1.57375,7.3125
1.63971,7.5972,0.0852495,-0.000104353,-0.0701353,26,129,108,1.63971,7.5972
1.70591,7.8813,0.0849387,-0.000104217,-0.0703,27,129,108,1.70591,7.8813
1.77232,8.1648,0.0846286,-0.000104081,-0.0704654,28,129,108,1.77232,8.1648
1.83897,8.4477,0.0843193,-0.000103945,-0.0706316,29,129,108,1.83897,8.4477
1.90584,8.73,0.0840107,-0.00010381,-0.0707986,30,129,108,1.90584,8.73
1.97294,9.0117,0.0837029,-0.000103674,-0.0709664,31,129,108,1.97294,9.0117
2.04026,9.2928,0.0833959,-0.000103539,-0.071135,32,129,108,2.04026,9.2928
2.10781,9.5733,0.0830896,-0.000103405,-0.0713044,33,129,108,2.10781,9.5733
2.17558,9.8532,0.0827841,-0.00010327,-0.0714746,34,129,108,2.17558,9.8532
2.24357,10.1325,0.0824793,-0.000103136,-0.0716455,35,129,108,2.24357,10.1325
2.31179,10.4112,0.0821753,-0.000103003,-0.0718173,36,129,108,2.31179,10.4112
2.38023,10.6893,0.081872,-0.000102869,-0.0719899,37,129,108,2.38023,10.6893
2.44889,10.9668,0.0815695,-0.000102736,-0.0721634,38,129,108,2.44889,10.9668
2.51777,11.2437,0.0812678,-0.000102603,-0.0723376,39,129,108,2.51777,11.2437
2.58688,11.52,0.0809667,-0.00010247,-0.0725127,40,129,108,2.58688,11.52
2.65621,11.7957,0.0806665,-0.000102338,-0.0726886,41,129,108,2.65621,11.7957
2.72575,12.0708,0.080367,-0.000102206,-0.0728653,42,129,108,2.72575,12.0708
2.79552,12.3453,0.0800682,-0.000102074,-0.0730429,43,129,108,2.79552,12.3453
2.86551,12.6192,0.0797702,-0.000101943,-0.0732214,44,129,108,2.86551,12.6192
2.93571,12.8925,0.0794729,-0.000101812,-0.0734007,45,129,108,2.93571,12.8925
3.00613,13.1652,0.0791764,-0.000101681,-0.0735809,46,129,108,3.00613,13.1652
3.07677,13.4373,0.0788807,-0.00010155,-0.0737619,47,129,108,3.07677,13.4373
3.14763,13.7088,0.0785856,-0.00010142,-0.0739438,48,129,108,3.14763,13.7088
3.21871,13.9797,0.0782914,-0.00010129,-0.0741265,49,129,108,3.21871,13.9797
3.29,14.25,0.0779978,-0.00010116,-0.0743102,50,129,108,3.29,14.25
3.36151,14.5197,0.0777051,-0.00010103,-0.0744947,51,129,108,3.36151,14.5197
3.43323,14.7888,0.077413,-0.000100901,-0.0746802,52,129,108,3.43323,14.7888
3.50517,15.0573,0.0771217,-0.000100772,-0.0748665,53,129,108,3.50517,15.0573
3.57732,15.3252,0.0768312,-0.000100644,-0.0750537,54,129,108,3.57732,15.3252
3.64969,15.5925,0.0765414,-0.000100516,-0.0752418,55,129,108,3.64969,15.5925
3.72227,15.8592,0.0762523,-0.000100388,-0.0754309,56,129,108,3.72227,15.8592
3.79506,16.1253,0.075964,-0.00010026,-0.0756209,57,129,108,3.79506,16.1253
3.86807,16.3908,0.0756764,-0.000100132,-0.0758117,58,129,108,3.86807,16.3908
3.94129,16.6557,0.0753895,-0.000100005,-0.0760036,59,129,108,3.94129,16.6557
4.01472,16.92,0.0751034,-9.98784e-05,-0.0761963,60,129,108,4.01472,16.92
4.08836,17.1837,0.0748181,-9.97518e-05,-0.07639,61,129,108,4.08836,17.1837
4.16221,17.4468,0.0745334,-9.96255e-05,-0.0765846,62,129,108,4.16221,17.4468
4.23628,17.7093,0.0742495,-9.94995e-05,-0.0767802,63,129,108,4.23628,17.7093
4.31055,17.9712,0.0739664,-9.93738e-05,-0.0769768,64,129,108,4.31055,17.9712
4.38503,18.2325,0.073684,-9.92484e-05,-0.0771743,65,129,108,4.38503,18.2325
4.45972,18.4932,0.0734023,-9.91232e-05,-0.0773728,66,129,108,4.45972,18.4932
4.53462,18.7533,0.0731213,-9.89984e-05,-0.0775722,67,129,108,4.53462,18.7533
4.60973,19.0128,0.0728411,-9.88738e-05,-0.0777727,68,129,108,4.60973,19.0128
4.68504,19.2717,0.0725616,-9.87495e-05,-0.0779741,69,129,108,4.68504,19.2717
4.76056,19.53,0.0722829,-9.86256e-05,-0.0781765,70,129,108,4.76056,19.53
4.83629,19.7877,0.0720049,-9.85019e-05,-0.0783799,71,129,108,4.83629,19.7877
4.91222,20.0448,0.0717276,-9.83784e-05,-0.0785844,72,129,108,4.91222,20.0448
4.98836,20.3013,0.071451,-9.82553e-05,-0.0787898,73,129,108,4.98836,20.3013
5.0647,20.5572,0.0711752,-9.81325e-05,-0.0789963,74,129,108,5.0647,20.5572
5.14125,20.8125,0.0709001,-9.801e-05,-0.0792037,75,129,108,5.14125,20.8125
5.218,21.0672,0.0706257,-9.78877e-05,-0.0794122,76,129,108,5.218,21.0672
5.29496,21.3213,0.0703521,-9.77657e-05,-0.0796218,77,129,108,5.29496,21.3213
5.37212,21.5748,0.0700792,-9.7644e-05,-0.0798324,78,129,108,5.37212,21.5748
5.44948,21.8277,0.069807,-9.75227e-05,-0.080044,79,129,108,5.44948,21.8277
5.52704,22.08,0.0695356,-9.74016e-05,-0.0802567,80,129,108,5.52704,22.08
5.6048,22.3317,0.0692649,-9.72807e-05,-0.0804704,81,129,108,5.6048,22.3317
5.68277,22.5828,0.0689949,-9.71602e-05,-0.0806852,82,129,108,5.68277,22.5828
5.76094,22.8333,0.0687256,-9.704e-05,-0.0809011,83,129,108,5.76094,22.8333
5.8393,23.0832,0.068457,-9.692e-05,-0.0811181,84,129,108,5.8393,23.0832
5.91787,23.3325,0.0681892,-9.68004e-05,-0.0813361,85,129,108,5.91787,23.3325
5.99664,23.5812,0.0679221,-9.6681e-05,-0.0815553,86,129,108,5.99664,23.5812
6.0756,23.8293,0.0676558,-9.65619e-05,-0.0817755,87,129,108,6.0756,23.8293
6.15476,24.0768,0.0673901,-9.64431e-05,-0.0819969,88,129,108,6.15476,24.0768
6.23412,24.3237,0.0671252,-9.63246e-05,-0.0822193,89,129,108,6.23412,24.3237
6.31368,24.57,0.066861,-9.62064e-05,-0.0824429,90,129,108,6.31368,24.57
6.39343,24.8157,0.0665975,-9.60884e-05,-0.0826676,91,129,108,6.39343,24.8157
6.47338,25.0608,0.0663347,-9.59708e-05,-0.0828935,92,129,108,6.47338,25.0608
6.55353,25.3053,0.0660727,-9.58534e-05,-0.0831205,93,129,108,6.55353,25.3053
6.63387,25.5492,0.0658113,-9.57363e-05,-0.0833486,94,129,108,6.63387,25.5492
6.71441,25.7925,0.0655507,-9.56196e-05,-0.0835779,95,129,108,6.71441,25.7925
6.79514,26.0352,0.0652908,-9.55031e-05,-0.0838084,96,129,108,6.79514,26.0352
6.87607,26.2773,0.0650317,-9.53868e-05,-0.08404,97,129,108,6.87607,26.2773
6.95718,26.5188,0.0647732,-9.52709e-05,-0.0842728,98,129,108,6.95718,26.5188
7.0385,26.7597,0.0645155,-9.51553e-05,-0.0845068,99,129,108,7.0385,26.7597
7.12,27,0.0642584,-9.504e-05,-0.0847419,100,129,108,7.12,27
7.2017,27.2397,0.0640021,-9.49249e-05,-0.0849783,101,129,108,7.2017,27.2397
7.28358,27.4788,0.0637465,-9.48101e-05,-0.0852159,102,129,108,7.28358,27.4788
7.36566,27.7173,0.0634917,-9.46956e-05,-0.0854546,103,129,108,7.36566,27.7173
7.44793,27.9552,0.0632375,-9.45815e-05,-0.0856946,104,129,108,7.44793,27.9552
7.53039,28.1925,0.0629841,-9.44676e-05,-0.0859359,105,129,108,7.53039,28.1925
7.61304,28.4292,0.0627313,-9.43539e-05,-0.0861783,106,129,108,7.61304,28.4292
7.69588,28.6653,0.0624793,-9.42406e-05,-0.086422,107,129,108,7.69588,28.6653
7.7789,28.9008,0.062228,-9.41276e-05,-0.086667,108,129,108,7.7789,28.9008
7.86212,29.1357,0.0619774,-9.40148e-05,-0.0869132,109,129,108,7.86212,29.1357
7.94552,29.37,0.0617275,-9.39024e-05,-0.0871606,110,129,108,7.94552,29.37
8.02911,29.6037,0.0614783,-9.37902e-05,-0.0874094,111,129,108,8.02911,29.6037
8.11289,29.8368,0.0612298,-9.36783e-05,-0.0876594,112,129,108,8.11289,29.8368
8.19685,30.0693,0.060982,-9.35667e-05,-0.0879107,113,129,108,8.19685,30.0693
8.281,30.3012,0.060735,-9.34554e-05,-0.0881633,114,129,108,8.281,30.3012
8.36533,30.5325,0.0604886,-9.33444e-05,-0.0884172,115,129,108,8.36533,30.5325
8.44985,30.7632,0.060243,-9.32336e-05,-0.0886724,116,129,108,8.44985,30.7632
8.53455,30.9933,0.0599981,-9.31232e-05,-0.0889289,117,129,108,8.53455,30.9933
8.61944,31.2228,0.0597538,-9.3013e-05,-0.0891867,118,129,108,8.61944,31.2228
8.70451,31.4517,0.0595103,-9.29031e-05,-0.0894459,119,129,108,8.70451,31.4517
8.78976,31.68,0.0592675,-9.27936e-05,-0.0897064,120,129,108,8.78976,31.68
8.8752,31.9077,0.0590254,-9.26843e-05,-0.0899683,121,129,108,8.8752,31.9077
8.96081,32.1348,0.058784,-9.25752e-05,-0.0902315,122,129,108,8.96081,32.1348
9.04661,32.3613,0.0585433,-9.24665e-05,-0.0904961,123,129,108,9.04661,32.3613
9.13259,32.5872,0.0583033,-9.23581e-05,-0.0907621,124,129,108,9.13259,32.5872
9.21875,32.8125,0.058064,-9.225e-05,-0.0910294,125,129,108,9.21875,32.8125
9.30509,33.0372,0.0578254,-9.21421e-05,-0.0912982,126,129,108,9.30509,33.0372
9.39161,33.2613,0.0575875,-9.20345e-05,-0.0915683,127,129,108,9.39161,33.2613
9.47831,33.4848,0.0573503,-9.19272e-05,-0.0918398,128,129,108,9.47831,33.4848
9.56518,33.7077,0.0571138,-9.18203e-05,-0.0921128,129,129,108,9.56518,33.7077
9.65224,33.93,0.056878,-9.17136e-05,-0.0923872,130,129,108,9.65224,33.93
9.73947,34.1517,0.0566429,-9.16071e-05,-0.092663,131,129,108,9.73947,34.1517
9.82688,34.3728,0.0564085,-9.1501e-05,-0.0929402,132,129,108,9.82688,34.3728
9.91447,34.5933,0.0561748,-9.13952e-05,-0.0932189,133,129,108,9.91447,34.5933
10.0022,34.8132,0.0559418,-9.12896e-05,-0.0934991,134,129,108,10.0022,34.8132
10.0902,35.0325,0.0557095,-9.11844e-05,-0.0937807,135,129,108,10.0902,35.0325
10.1783,35.2512,0.0554779,-9.10794e-05,-0.0940638,136,129,108,10.1783,35.2512
10.2666,35.4693,0.0552469,-9.09747e-05,-0.0943484,137,129,108,10.2666,35.4693
10.355,35.6868,0.0550167,-9.08703e-05,-0.0946345,138,129,108,10.355,35.6868
10.4437,35.9037,0.0547872,-9.07662e-05,-0.094922,139,129,108,10.4437,35.9037
10.5325,36.12,0.0545584,-9.06624e-05,-0.0952111,140,129,108,10.5325,36.12
10.6215,36.3357,0.0543303,-9.05588e-05,-0.0955017,141,129,108,10.6215,36.3357
10.7106,36.5508,0.0541028,-9.04556e-05,-0.0957939,142,129,108,10.7106,36.5508
10.7999,36.7653,0.0538761,-9.03526e-05,-0.0960875,143,129,108,10.7999,36.7653
10.8894,36.9792,0.05365,-9.02499e-05,-0.0963827,144,129,108,10.8894,36.9792
10.9791,37.1925,0.0534247,-9.01476e-05,-0.0966795,145,129,108,10.9791,37.1925
11.0689,37.4052,0.0532,-9.00455e-05,-0.0969778,146,129,108,11.0689,37.4052
11.159,37.6173,0.052976,-8.99436e-05,-0.0972777,147,129,108,11.159,37.6173
11.2491,37.8288,0.0527527,-8.98421e-05,-0.0975792,148,129,108,11.2491,37.8288
11.3395,38.0397,0.0525302,-8.97409e-05,-0.0978823,149,129,108,11.3395,38.0397
11.43,38.25,0.0523082,-8.964e-05,-0.0981869,150,129,108,11.43,38.25
11.5207,38.4597,0.052087,-8.95393e-05,-0.0984932,151,129,108,11.5207,38.4597
11.6115,38.6688,0.0518665,-8.94389e-05,-0.0988011,152,129,108,11.6115,38.6688
11.7026,38.8773,0.0516467,-8.93388e-05,-0.0991106,153,129,108,11.7026,38.8773
11.7937,39.0852,0.0514275,-8.92391e-05,-0.0994218,154,129,108,11.7937,39.0852
11.8851,39.2925,0.0512091,-8.91396e-05,-0.0997346,155,129,108,11.8851,39.2925
11.9766,39.4992,0.0509913,-8.90403e-05,-0.100049,156,129,108,11.9766,39.4992
12.0683,39.7053,0.0507742,-8.89414e-05,-0.100365,157,129,108,12.0683,39.7053
12.1601,39.9108,0.0505578,-8.88428e-05,-0.100683,158,129,108,12.1601,39.9108
12.2521,40.1157,0.0503421,-8.87444e-05,-0.101002,159,129,108,12.2521,40.1157
12.3443,40.32,0.0501271,-8.86464e-05,-0.101324,160,129,108,12.3443,40.32
12.4367,40.5237,0.0499127,-8.85486e-05,-0.101647,161,129,108,12.4367,40.5237
12.5292,40.7268,0.0496991,-8.84511e-05,-0.101971,162,129,108,12.5292,40.7268
12.6218,40.9293,0.0494861,-8.83539e-05,-0.102297,163,129,108,12.6218,40.9293
12.7146,41.1312,0.0492738,-8.8257e-05,-0.102626,164,129,108,12.7146,41.1312
12.8076,41.3325,0.0490622,-8.81604e-05,-0.102955,165,129,108,12.8076,41.3325
12.9008,41.5332,0.0488512,-8.8064e-05,-0.103287,166,129,108,12.9008,41.5332
12.9941,41.7333,0.048641,-8.7968e-05,-0.10362,167,129,108,12.9941,41.7333
13.0875,41.9328,0.0484314,-8.78722e-05,-0.103955,168,129,108,13.0875,41.9328
13.1812,42.1317,0.0482225,-8.77767e-05,-0.104292,169,129,108,13.1812,42.1317
13.275,42.33,0.0480143,-8.76816e-05,-0.104631,170,129,108,13.275,42.33
13.3689,42.5277,0.0478068,-8.75867e-05,-0.104971,171,129,108,13.3689,42.5277
13.463,42.7248,0.0476,-8.7492e-05,-0.105313,172,129,108,13.463,42.7248
13.5573,42.9213,0.0473938,-8.73977e-05,-0.105658,173,129,108,13.5573,42.9213
13.6517,43.1172,0.0471883,-8.73037e-05,-0.106004,174,129,108,13.6517,43.1172
13.7462,43.3125,0.0469835,-8.721e-05,-0.106351,175,129,108,13.7462,43.3125
13.841,43.5072,0.0467794,-8.71165e-05,-0.106701,176,129,108,13.841,43.5072
13.9359,43.7013,0.0465759,-8.70233e-05,-0.107052,177,129,108,13.9359,43.7013
14.0309,43.8948,0.0463732,-8.69304e-05,-0.107406,178,129,108,14.0309,43.8948
14.1261,44.0877,0.0461711,-8.68379e-05,-0.107761,179,129,108,14.1261,44.0877
14.2214,44.28,0.0459696,-8.67456e-05,-0.108118,180,129,108,14.2214,44.28
14.3169,44.4717,0.0457689,-8.66535e-05,-0.108477,181,129,108,14.3169,44.4717
14.4126,44.6628,0.0455688,-8.65618e-05,-0.108838,182,129,108,14.4126,44.6628
14.5084,44.8533,0.0453694,-8.64704e-05,-0.109201,183,129,108,14.5084,44.8533
14.6044,45.0432,0.0451707,-8.63792e-05,-0.109566,184,129,108,14.6044,45.0432
14.7005,45.2325,0.0449726,-8.62884e-05,-0.109932,185,129,108,14.7005,45.2325
14.7967,45.4212,0.0447753,-8.61978e-05,-0.110301,186,129,108,14.7967,45.4212
14.8931,45.6093,0.0445786,-8.61075e-05,-0.110672,187,129,108,14.8931,45.6093
14.9897,45.7968,0.0443825,-8.60175e-05,-0.111044,188,129,108,14.9897,45.7968
15.0864,45.9837,0.0441872,-8.59278e-05,-0.111419,189,129,108,15.0864,45.9837
15.1833,46.17,0.0439925,-8.58384e-05,-0.111796,190,129,108,15.1833,46.17
15.2803,46.3557,0.0437985,-8.57492e-05,-0.112174,191,129,108,15.2803,46.3557
15.3774,46.5408,0.0436051,-8.56604e-05,-0.112555,192,129,108,15.3774,46.5408
15.4748,46.7253,0.0434124,-8.55718e-05,-0.112938,193,129,108,15.4748,46.7253
15.5722,46.9092,0.0432204,-8.54835e-05,-0.113322,194,129,108,15.5722,46.9092
15.6698,47.0925,0.0430291,-8.53956e-05,-0.113709,195,129,108,15.6698,47.0925
15.7676,47.2752,0.0428384,-8.53079e-05,-0.114098,196,129,108,15.7676,47.2752
15.8655,47.4573,0.0426484,-8.52204e-05,-0.114489,197,129,108,15.8655,47.4573
15.9635,47.6388,0.0424591,-8.51333e-05,-0.114882,198,129,108,15.9635,47.6388
16.0617,47.8197,0.0422704,-8.50465e-05,-0.115277,199,129,108,16.0617,47.8197
16.16,48,0.0420824,-8.496e-05,-0.115674,200,129,108,16.16,48
16.2585,48.1797,0.0418951,-8.48737e-05,-0.116073,201,129,108,16.2585,48.1797
16.3571,48.3588,0.0417085,-8.47877e-05,-0.116475,202,129,108,16.3571,48.3588
16.4558,48.5373,0.0415225,-8.4702e-05,-0.116878,203,129,108,16.4558,48.5373
16.5547,48.7152,0.0413371,-8.46167e-05,-0.117284,204,129,108,16.5547,48.7152
16.6538,48.8925,0.0411525,-8.45316e-05,-0.117691,205,129,108,16.6538,48.8925
16.753,49.0692,0.0409685,-8.44467e-05,-0.118101,206,129,108,16.753,49.0692
16.8523,49.2453,0.0407851,-8.43622e-05,-0.118514,207,129,108,16.8523,49.2453
16.9518,49.4208,0.0406025,-8.4278e-05,-0.118928,208,129,108,16.9518,49.4208
17.0514,49.5957,0.0404205,-8.4194e-05,-0.119344,209,129,108,17.0514,49.5957
17.1511,49.77,0.0402391,-8.41104e-05,-0.119763,210,129,108,17.1511,49.77
17.251,49.9437,0.0400584,-8.4027e-05,-0.120184,211,129,108,17.251,49.9437
17.351,50.1168,0.0398784,-8.39439e-05,-0.120607,212,129,108,17.351,50.1168
17.4512,50.2893,0.0396991,-8.38611e-05,-0.121033,213,129,108,17.4512,50.2893
17.5515,50.4612,0.0395204,-8.37786e-05,-0.12146,214,129,108,17.5515,50.4612
17.6519,50.6325,0.0393423,-8.36964e-05,-0.12189,215,129,108,17.6519,50.6325
17.7525,50.8032,0.039165,-8.36144e-05,-0.122322,216,129,108,17.7525,50.8032
17.8532,50.9733,0.0389883,-8.35328e-05,-0.122757,217,129,108,17.8532,50.9733
17.9541,51.1428,0.0388122,-8.34514e-05,-0.123193,218,129,108,17.9541,51.1428
18.055,51.3117,0.0386368,-8.33703e-05,-0.123632,219,129,108,18.055,51.3117
18.1562,51.48,0.0384621,-8.32896e-05,-0.124074,220,129,108,18.1562,51.48
18.2574,51.6477,0.038288,-8.32091e-05,-0.124517,221,129,108,18.2574,51.6477
18.3588,51.8148,0.0381146,-8.31288e-05,-0.124963,222,129,108,18.3588,51.8148
18.4603,51.9813,0.0379418,-8.30489e-05,-0.125412,223,129,108,18.4603,51.9813
18.562,52.1472,0.0377698,-8.29693e-05,-0.125862,224,129,108,18.562,52.1472
18.6638,52.3125,0.0375983,-8.289e-05,-0.126315,225,129,108,18.6638,52.3125
18.7657,52.4772,0.0374275,-8.28109e-05,-0.126771,226,129,108,18.7657,52.4772
18.8677,52.6413,0.0372574,-8.27321e-05,-0.127228,227,129,108,18.8677,52.6413
18.9699,52.8048,0.0370879,-8.26536e-05,-0.127688,228,129,108,18.9699,52.8048
19.0722,52.9677,0.0369191,-8.25755e-05,-0.128151,229,129,108,19.0722,52.9677
19.1746,53.13,0.036751,-8.24976e-05,-0.128616,230,129,108,19.1746,53.13
19.2772,53.2917,0.0365835,-8.24199e-05,-0.129083,231,129,108,19.2772,53.2917
19.3799,53.4528,0.0364166,-8.23426e-05,-0.129553,232,129,108,19.3799,53.4528
19.4827,53.6133,0.0362504,-8.22656e-05,-0.130025,233,129,108,19.4827,53.6133
19.5857,53.7732,0.0360849,-8.21888e-05,-0.1305,234,129,108,19.5857,53.7732
19.6888,53.9325,0.03592,-8.21124e-05,-0.130977,235,129,108,19.6888,53.9325
19.792,54.0912,0.0357558,-8.20362e-05,-0.131456,236,129,108,19.792,54.0912
19.8953,54.2493,0.0355922,-8.19603e-05,-0.131938,237,129,108,19.8953,54.2493
19.9988,54.4068,0.0354292,-8.18847e-05,-0.132423,238,129,108,19.9988,54.4068
20.1024,54.5637,0.035267,-8.18094e-05,-0.13291,239,129,108,20.1024,54.5637
20.2061,54.72,0.0351053,-8.17344e-05,-0.133399,240,129,108,20.2061,54.72
20.3099,54.8757,0.0349444,-8.16596e-05,-0.133891,241,129,108,20.3099,54.8757
20.4139,55.0308,0.0347841,-8.15852e-05,-0.134386,242,129,108,20.4139,55.0308
20.518,55.1853,0.0346244,-8.1511e-05,-0.134883,243,129,108,20.518,55.1853
20.6222,55.3392,0.0344654,-8.14371e-05,-0.135382,244,129,108,20.6222,55.3392
20.7265,55.4925,0.034307,-8.13636e-05,-0.135884,245,129,108,20.7265,55.4925
20.831,55.6452,0.0341493,-8.12903e-05,-0.136389,246,129,108,20.831,55.6452
20.9355,55.7973,0.0339922,-8.12172e-05,-0.136896,247,129,108,20.9355,55.7973
21.0402,55.9488,0.0338358,-8.11445e-05,-0.137406,248,129,108,21.0402,55.9488
